Ref,Val,Package,PosX,PosY,Rot,Side
"C2","1 nF C0G","C_1206_3216Metric",-44.399999,28.600000,90.000000,top
"C4","2.2 nF C0G","C_0805_2012Metric",-55.799999,12.850000,-90.000000,top
"C5","2.2 nF C0G","C_0805_2012Metric",-55.799999,17.150000,90.000000,top
"C7","47 uF","C_1206_3216Metric",-52.499999,5.000000,-90.000000,top
"C8","1 uF","C_0402_1005Metric",-48.399999,-3.400000,90.000000,top
"C9","2.2 nF C0G","C_0805_2012Metric",-55.799999,21.350000,-90.000000,top
"D1","D_Schottky","D_SOD-323",-44.249999,19.700000,90.000000,top
"D2","D_Schottky","D_SOD-323",-44.249999,23.200000,90.000000,top
"D4","D_TVS","D_SOD-523",-44.199999,16.500000,90.000000,top
"D8","D_Schottky","D_SOD-323",-55.799999,28.500000,-90.000000,top
"D9","D_Schottky","D_SOD-323",-55.809999,25.100000,90.000000,top
"J3","pins","PinHeader_1x03_P1.27mm_Vertical",-44.399999,11.375000,0.000000,top
"J4","pins","PinHeader_1x03_P1.27mm_Vertical",-51.199999,-5.400000,90.000000,top
"L1","4.7 uH","L_0603_1608Metric",-55.289999,-2.330000,180.000000,top
"Q1","dual_NMOS","SOT-23-6",-53.949999,-4.762500,180.000000,top
"Q2","dual_NMOS","SOT-23-6",-45.417499,6.060000,180.000000,top
"Q3","dual_NMOS","SOT-23-6",-47.079999,2.997500,180.000000,top
"Q4","AO3401A","SOT-23",-55.349999,6.750000,90.000000,top
"R1","1M","R_0402_1005Metric",-55.599999,9.400000,0.000000,top
"R2","1M","R_0402_1005Metric",-43.699999,3.430000,90.000000,top
"R3","0","R_0603_1608Metric",-51.799999,-0.275000,-90.000000,top
"R4","22","R_0402_1005Metric",-52.819999,-2.580000,0.000000,top
"R5","0","R_0603_1608Metric",-48.189999,-0.200000,-90.000000,top
"R6","75","R_0603_1608Metric",-43.949999,-0.525000,90.000000,top
"R7","10M","R_0402_1005Metric",-55.599999,10.600000,0.000000,top
"SC1","Solar_Cell","PinHeader_1x02_P2.00mm_Vertical",-49.999999,29.562500,0.000000,top
"U1","MCP1643xMS","MSOP-8_3x3mm_P0.65mm",-55.424999,1.612500,-90.000000,top
"U2","ATtiny416-M","VQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm",-45.799999,-4.150000,0.000000,top
